steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
34,4548.993,0,2.7885210514068604,0.03340961704770257,0.01887580126146164,-16.94139289855957,876.988037109375,4780.302734375,0.0,0.0,1.0,2,296467,-2.4378457069396973,0.012285932898521423,1.385015845298767,-1.0349512100219727,-0.051390960812568665,0.032431893050670624,0.010755373165011406,0,5166.484568851563,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3364,0.0
35,4549.059,0,3.1286957263946533,0.03749204602667948,0.016717090644233545,-17.112327575683594,877.0855102539062,4771.60205078125,4.031999588012695,0.0,1.0,2,296471,-2.7309632301330566,0.006521311122924089,1.5582891702651978,-1.032550573348999,-0.051569994539022446,0.035266660153865814,0.0066313776187598705,0,5166.679874074238,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3364,0.0
36,4549.11,0,3.393190622329712,0.04066819667074854,0.014762152435049582,-17.25776481628418,877.1685791015625,4762.68994140625,0.0,0.0,1.0,2,296475,-2.957684278488159,0.002197008114308119,1.6946520805358887,-1.0307639837265015,-0.05143817886710167,0.03708285465836525,0.004394235089421272,0,5166.846690134378,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3364,0.0
37,4549.164,0,3.6746950149536133,0.0440524570608376,0.011941975708781511,-17.42426300048828,877.2643432617188,4750.4423828125,4.031999588012695,0.0,1.0,2,296479,-3.1973652839660645,-0.00024594858405180275,1.8427555561065674,-1.0285056829452515,-0.05184079706668854,0.04250234737992287,0.0024380201939493418,0,5167.039249413676,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3364,0.0
38,4549.212,0,3.9262924194335938,0.04708018891844623,0.008995793227746119,-17.583253860473633,877.3560791015625,4737.5322265625,0.0,0.0,1.0,2,296483,-3.41241192817688,-0.0019877187442034483,1.9735591411590576,-1.0264955759048462,-0.05197447910904884,0.043921392410993576,0.0015423967270180583,0,5167.2211681623885,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3364,0.0
39,4549.278,0,4.273078918457031,0.05126066024840578,0.0038114842691643856,-17.818572998046875,877.4927978515625,4717.94287109375,4.031999588012695,0.0,1.0,2,296487,-3.7070329189300537,-0.004571377299726009,2.1568870544433594,-1.0233558416366577,-0.052420347929000854,0.04729022830724716,0.00032055334304459393,0,5167.491643585003,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3364,0.0
40,4549.329,0,4.541741371154785,0.054495999652960994,-0.0010781769581884736,-18.01378631591797,877.6066284179688,4701.34765625,0.0,0.0,1.0,2,296491,-3.933473587036133,-0.005828560329973698,2.3020341396331787,-1.0207890272140503,-0.05256025120615959,0.05076732486486435,-0.0018972092075273395,0,5167.717154184822,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3365,0.0
41,4549.395,0,4.891726016998291,0.05862904584324246,-0.01465052631484355,-18.283475875854492,877.7651977539062,4677.38134765625,4.031999588012695,0.0,1.0,2,296495,-4.228068828582764,-0.013902310281991959,2.491729974746704,-1.0173169374465942,-0.05320839211344719,0.054425567388534546,0.0010400074534118176,0,5168.028818758088,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3365,0.0
42,4549.461,0,5.244040489196777,0.06277057561735881,-0.030112325281971403,-18.57270050048828,877.936279296875,4646.74560546875,0.0,0.0,1.0,2,296499,-4.52085542678833,-0.00989420898258686,2.688910722732544,-1.0136287212371826,-0.05369003489613533,0.06168869510293007,-0.0008493502391502261,0,5168.363137364213,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3365,0.0
43,4549.53,0,5.613902568817139,0.06709050583178239,-0.04922155143164617,-18.89564323425293,878.12939453125,4611.4345703125,4.031999588012695,0.0,1.0,2,296503,-4.8286566734313965,-0.0025728463660925627,2.8950576782226562,-1.0091314315795898,-0.05432736128568649,0.06398751586675644,-0.00410214439034462,0,5168.73383972008,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3365,0.0
44,4549.581,0,5.888368606567383,0.07027814120832301,-0.06492155909859522,-19.14803695678711,878.2811889648438,4583.98486328125,0.0,0.0,1.0,2,296507,-5.0538763999938965,-0.004175204783678055,3.053093910217285,-1.0058995485305786,-0.05445624887943268,0.0666496753692627,-0.002080889418721199,0,5169.028685390163,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3365,0.0
45,4549.629,0,6.14630651473999,0.07324619722718954,-0.08289221314760531,-19.39594268798828,878.431640625,4556.42724609375,4.031999588012695,0.0,1.0,2,296511,-5.2637939453125,-0.002873989986255765,3.204385757446289,-1.002518653869629,-0.05514019727706909,0.07088326662778854,-0.003458903869614005,0,5169.3190689022595,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3366,0.0
46,4549.695,0,6.503077983856201,0.07727970148752422,-0.11644244781163934,-19.753355026245117,878.650390625,4514.349609375,0.0,0.0,1.0,2,296515,-5.55126953125,0.004061196930706501,3.418416738510132,-0.9978471398353577,-0.05538845807313919,0.07563864439725876,-0.009465486742556095,0,5169.733019866311,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3366,0.0
47,4549.761,0,6.862192153930664,0.08128741762575456,-0.15430757368210238,-20.1296443939209,878.883544921875,4468.9619140625,4.031999588012695,0.0,1.0,2,296519,-5.840089321136475,0.007208218798041344,3.634016752243042,-0.992786705493927,-0.055763449519872665,0.07377312332391739,-0.014796227216720581,0,5170.1730572924425,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3366,0.0
48,4549.809,0,7.12366247177124,0.08417055420338838,-0.1843708153033732,-20.415285110473633,879.06201171875,4432.52392578125,0.0,0.0,1.0,2,296523,-6.047829627990723,0.010315770283341408,3.7957701683044434,-0.9894142150878906,-0.056010156869888306,0.07257077097892761,-0.023290162906050682,0,5170.510465084866,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3366,0.0
49,4549.875,0,7.492901802062988,0.08815648399907951,-0.23466711190479436,-20.824365615844727,879.3206176757812,4366.26318359375,4.031999588012695,0.0,1.0,2,296527,-6.3381853103637695,0.022356264293193817,4.02802848815918,-0.9843881726264954,-0.05670349299907684,0.07064547389745712,-0.02431713044643402,0,5170.987229503662,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3367,0.0
50,4549.926,0,7.780426025390625,0.09118126273962143,-0.28068508818659865,-21.153701782226562,879.5309448242188,4312.24169921875,0.0,0.0,1.0,2,296531,-6.561657428741455,0.018096359446644783,4.212329864501953,-0.9812663197517395,-0.05706999823451042,0.0658661350607872,-0.018377605825662613,0,5171.375437248556,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3367,0.0
51,4549.992,0,8.16114330291748,0.09511005010185106,-0.345989456176966,-21.59679412841797,879.8176879882812,4222.4453125,4.031999588012695,0.0,1.0,2,296535,-6.853621959686279,0.03653730824589729,4.462733268737793,-0.9770893454551697,-0.05761692300438881,0.057148199528455734,-0.019612200558185577,0,5171.896480004303,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3367,0.0
